,company,type,rating,age,highly_ratedFOR,critically_ratedFOR
4555,ICPA Health Products,Healthcare ,3.5,41 years old,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
4556,JCT,Fashion & Textile ,3.7,78 years old,"Promotions / Appraisal, Salary & Benefits",
4557,Bekaert Industries,Electrical Equipment ,4.2,144 years old,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
4558,Vishwa Samudra Engineering,501-1k Employees ,4.1,,,
4559,MSC Technology India,IT Services & Consulting ,4.6,17 years old,"Job Security, Work Life Balance, Salary & Benefits",
4560,Itvedant Education,EdTech ,4.4,12 years old,"Company Culture, Skill Development / Learning, Work Satisfaction",
4561,Amazon Seller Central,Internet ,4.3,,"Company Culture, Skill Development / Learning, Work Life Balance",
4562,Shalimar Corp,Real Estate ,4.1,,"Salary & Benefits, Work Life Balance",Promotions / Appraisal
4563,Fashion TV,Broadcasting ,3.7,,Job Security,
4564,Fisdom,Financial Services ,3.7,9 years old,Job Security,
4565,Searce Cosourcing Services,IT Services & Consulting ,3.3,20 years old,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",
4566,Dhampur Sugar Mills,Agro Chemicals ,3.5,91 years old,"Company Culture, Promotions / Appraisal, Work Satisfaction",
4567,Hyderabad Metro Rail,Railways ,4.1,14 years old,"Job Security, Skill Development / Learning, Work Satisfaction",Salary & Benefits
4568,Royal Infraconstru,Engineering & Construction ,3.9,44 years old,Promotions / Appraisal,
4569,Bharti Foundation,Non-Profit ,4.2,24 years old,"Salary & Benefits, Company Culture, Work Life Balance",Promotions / Appraisal
4570,Enmas O & M Services,Oil & Gas ,3.9,19 years old,Job Security,"Salary & Benefits, Company Culture"
4571,Capillary Technologies,IT Services & Consulting ,3.6,16 years old,"Promotions / Appraisal, Work Satisfaction, Job Security",
4572,Stedman Pharmaceuticals,Pharma ,4.4,33 years old,"Skill Development / Learning, Work Life Balance, Company Culture",
4573,Affluent Global Services,IT Services & Consulting ,3.4,12 years old,"Job Security, Skill Development / Learning, Promotions / Appraisal",
4574,Darwinbox,Software Product ,3.5,9 years old,"Work Life Balance, Promotions / Appraisal, Work Satisfaction",
4575,Sapphire Software Solutions (India),IT Services & Consulting ,4.5,24 years old,"Job Security, Skill Development / Learning, Company Culture",
4576,Cogencis Information Services,IT Services & Consulting ,3.8,17 years old,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
4577,Cadsys,IT Services & Consulting ,3.9,35 years old,"Job Security, Skill Development / Learning, Promotions / Appraisal",
4578,Betsol,IT Services & Consulting ,3.5,22 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
4579,All India Radio,Broadcasting ,4.1,94 years old,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
4580,Eternis Fine Chemicals,Chemicals ,3.8,36 years old,"Salary & Benefits, Skill Development / Learning",Job Security
4581,Ultra Engineers,Industrial Machinery ,4.1,33 years old,"Skill Development / Learning, Job Security, Company Culture",
4582,Searce Cosourcing Services,IT Services & Consulting ,3.3,20 years old,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",
4583,Fisdom,Financial Services ,3.7,9 years old,Job Security,
4584,Edward Food Research and Analysis Centre,Analytics & KPO ,3.4,103 years old,"Promotions / Appraisal, Work Satisfaction, Company Culture",
4585,Hyderabad Metro Rail,Railways ,4.1,14 years old,"Job Security, Skill Development / Learning, Work Satisfaction",Salary & Benefits
4586,Sapphire Software Solutions (India),IT Services & Consulting ,4.5,24 years old,"Job Security, Skill Development / Learning, Company Culture",
4587,Ansal Api,Real Estate ,3.7,57 years old,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
4588,Wilo Mather and Platt Pumps,Industrial Machinery ,4.2,154 years old,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
4589,Dhampur Sugar Mills,Agro Chemicals ,3.5,91 years old,"Company Culture, Promotions / Appraisal, Work Satisfaction",
4590,Cadworks India,Design ,4.7,13 years old,"Work Life Balance, Salary & Benefits, Job Security",
4591,National Aerospace Laboratories,Defence & Aerospace ,4.4,65 years old,"Skill Development / Learning, Work Satisfaction, Company Culture","Job Security, Promotions / Appraisal"
4592,South Eastern Coalfields,Metals & Mining ,4.3,39 years old,"Job Security, Work Satisfaction, Work Life Balance",
4593,BPL Medical Technologies,Medical Equipment ,4.2,57 years old,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
4594,Vulcan Express,Logistics ,4.3,11 years old,"Company Culture, Skill Development / Learning, Work Life Balance",
4595,Indian Council of Agricultural Research,Education & Training ,4.1,95 years old,"Work Life Balance, Company Culture, Skill Development / Learning","Promotions / Appraisal, Job Security"
4596,HomeShop18,Internet ,4.2,16 years old,"Work Life Balance, Company Culture, Skill Development / Learning",
4597,TAL Manufacturing Solutions,Industrial Machinery ,4,24 years old,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
4598,SevenMentor,Education & Training ,4.7,15 years old,"Company Culture, Job Security, Skill Development / Learning",
4599,The Smart Cube,Management Consulting ,3.7,21 years old,"Job Security, Company Culture, Work Life Balance","Salary & Benefits, Work Satisfaction, Promotions / Appraisal"
4600,BPL Medical Technologies,Medical Equipment ,4.2,57 years old,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
4601,ITW India,Industrial Machinery ,4.1,112 years old,"Job Security, Salary & Benefits, Work Life Balance",
4602,National Aerospace Laboratories,Defence & Aerospace ,4.4,65 years old,"Skill Development / Learning, Work Satisfaction, Company Culture","Job Security, Promotions / Appraisal"
4603,South Eastern Coalfields,Metals & Mining ,4.3,39 years old,"Job Security, Work Satisfaction, Work Life Balance",
4604,The Smart Cube,Management Consulting ,3.7,21 years old,"Job Security, Company Culture, Work Life Balance","Salary & Benefits, Work Satisfaction, Promotions / Appraisal"
4605,SevenMentor,Education & Training ,4.7,15 years old,"Company Culture, Job Security, Skill Development / Learning",
4606,Vulcan Express,Logistics ,4.3,11 years old,"Company Culture, Skill Development / Learning, Work Life Balance",
4607,Indian Council of Agricultural Research,Education & Training ,4.1,95 years old,"Work Life Balance, Company Culture, Skill Development / Learning","Promotions / Appraisal, Job Security"
4608,Kalyani Maxion Wheels,Auto Components ,4,104 years old,"Job Security, Work Life Balance",
4609,Arkray Healthcare,Healthcare ,4,64 years old,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits"
4610,HostBooks,Software Product ,3.6,15 years old,"Job Security, Promotions / Appraisal",
4611,Ikya Human Capital,Recruitment ,4.2,,"Work Life Balance, Skill Development / Learning, Salary & Benefits",
4612,Zypp Electric,Internet ,3.9,7 years old,"Skill Development / Learning, Company Culture, Salary & Benefits",
4613,TIDE,FinTech ,4.8,9 years old,"Company Culture, Work Life Balance, Work Satisfaction",
4614,Savista Global Solutions,Analytics & KPO ,3.9,3 years old,"Company Culture, Work Life Balance",Promotions / Appraisal
4615,Amity Software Systems,Software Product ,4.3,38 years old,"Job Security, Work Life Balance, Work Satisfaction",
4616,Kanoria Chemicals & Industries,Chemicals ,4,64 years old,"Job Security, Work Life Balance","Salary & Benefits, Promotions / Appraisal"
4617,Highbar Technocrat,IT Services & Consulting ,3.8,14 years old,Skill Development / Learning,"Promotions / Appraisal, Work Life Balance"
4618,Simpson,Auto Components ,3.8,184 years old,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits, Company Culture"
4619,Accurate Engineering Company,Industrial Machinery ,3.6,61 years old,"Promotions / Appraisal, Company Culture, Salary & Benefits",
4620,HDFC Bank,Banking ,4,30 years old,"Job Security, Skill Development / Learning",Promotions / Appraisal
4621,ICICI Bank,Banking ,4,30 years old,"Job Security, Skill Development / Learning, Company Culture",
4622,HDB Financial Services,NBFC ,4,17 years old,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal
4623,TCS,IT Services & Consulting ,3.8,56 years old,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
4624,Kotak Mahindra Bank,Banking ,3.8,21 years old,Job Security,Promotions / Appraisal
4625,Axis Bank,Banking ,3.9,31 years old,Job Security,
4626,Larsen & Toubro Limited,Engineering & Construction ,4.1,86 years old,"Job Security, Skill Development / Learning",
4627,Karma Ayurveda,Healthcare ,4.5,,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",
4628,Max Healthcare,Healthcare ,4.2,23 years old,"Skill Development / Learning, Job Security, Company Culture",
4629,Vodafone Idea,Telecom ,4.2,6 years old,"Company Culture, Work Life Balance, Salary & Benefits",
4630,Wipro,IT Services & Consulting ,3.8,79 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
4631,Reliance Retail,Retail ,4,18 years old,"Skill Development / Learning, Job Security",Promotions / Appraisal
4632,Indian Air Force,Defence & Aerospace ,4.7,92 years old,"Job Security, Skill Development / Learning, Salary & Benefits",
4633,Jio,Telecom ,4,17 years old,"Job Security, Skill Development / Learning",Promotions / Appraisal
4634,Mankind Pharma,Pharma ,4.1,29 years old,"Salary & Benefits, Skill Development / Learning, Job Security",
4635,Yes Bank,Banking ,3.9,20 years old,"Salary & Benefits, Work Life Balance",
4636,Indian Army,Defence & Aerospace ,4.7,129 years old,"Job Security, Company Culture, Work Satisfaction",
4637,Genpact,IT Services & Consulting ,3.9,27 years old,"Job Security, Skill Development / Learning, Work Life Balance","Salary & Benefits, Promotions / Appraisal"
4638,IndusInd Bank,Banking ,3.7,30 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
4639,Apollo Hospitals,Healthcare ,4.1,41 years old,"Job Security, Skill Development / Learning, Company Culture",
4640,MM Forgings,Iron & Steel ,3.8,78 years old,Skill Development / Learning,"Salary & Benefits, Promotions / Appraisal, Company Culture"
4641,Shriram Fortune Solutions,Financial Services ,4.2,50 years old,"Company Culture, Work Life Balance, Job Security",
4642,Chiripal Industries,Fashion & Textile ,3.6,52 years old,"Promotions / Appraisal, Company Culture, Salary & Benefits",
4643,Jbm Auto Components,Auto Components ,4.1,41 years old,"Job Security, Skill Development / Learning, Work Life Balance",Salary & Benefits
4644,Dixcy Textiles,1k-5k Employees ,4.2,40 years old,"Skill Development / Learning, Work Life Balance, Company Culture",
4645,OEN India,Auto Components ,4,56 years old,"Job Security, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
4646,BOLD Technology Systems,Internet ,3.4,20 years old,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",
4647,Canam Consultants,Management Consulting ,4.2,28 years old,"Work Life Balance, Company Culture, Skill Development / Learning",
4648,Vision Rx Lab,Medical Equipment ,4.2,65 years old,"Job Security, Work Life Balance",Promotions / Appraisal
4649,Riddhi Corporate Services,IT Services & Consulting ,3.9,14 years old,"Promotions / Appraisal, Job Security, Salary & Benefits",
4650,Biostadt,Agro Chemicals ,4.5,21 years old,"Work Life Balance, Company Culture, Skill Development / Learning",
4651,V2Solutions,IT Services & Consulting ,4,21 years old,"Company Culture, Work Life Balance",
4652,Sand Martin Consultants,BPO ,3,40 years old,"Salary & Benefits, Promotions / Appraisal, Company Culture",
4653,Tbea Energy,Electrical Equipment ,4,14 years old,Skill Development / Learning,Promotions / Appraisal
4654,Emirates NBD,Banking ,3.8,61 years old,Promotions / Appraisal,
4655,TRF,Auto Components ,3.6,62 years old,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
4656,Srei Sahaj e-Village,Retail ,4.1,16 years old,Skill Development / Learning,Promotions / Appraisal
4657,Aditya Infotech,IT Services & Consulting ,4.1,30 years old,"Work Life Balance, Salary & Benefits, Company Culture",
4658,Marsh,Insurance ,4.1,55 years old,"Job Security, Company Culture, Work Life Balance",
4659,Energy Efficiency Services,Power ,4,15 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
4660,Systopic Laboratories,Pharma ,4.7,42 years old,"Job Security, Work Life Balance, Company Culture",
4661,ITCube Solutions,IT Services & Consulting ,3.4,21 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
4662,Applus Velosi,Oil & Gas ,3.8,42 years old,Work Life Balance,Promotions / Appraisal
4663,Xrbia Developers,Real Estate ,2.8,12 years old,"Job Security, Promotions / Appraisal, Salary & Benefits",
4664,Capri Global Housing Finance,Financial Services ,3.6,27 years old,"Work Life Balance, Job Security, Promotions / Appraisal",
4665,KNR Constructions,Engineering & Construction ,4.1,29 years old,"Job Security, Skill Development / Learning",Promotions / Appraisal
4666,Fitelo,Fitness & Wellness ,3.5,5 years old,"Salary & Benefits, Work Satisfaction, Promotions / Appraisal",
4667,Wonder Home Finance,Financial Services ,4.6,7 years old,"Company Culture, Job Security, Skill Development / Learning",
4668,MINISO,Retail ,4,11 years old,"Job Security, Promotions / Appraisal, Work Satisfaction",
4669,Celebi Delhi Cargo Terminal Management,Aviation ,4,66 years old,"Skill Development / Learning, Job Security, Work Satisfaction",
4670,Pps Motors,Automobile ,3.9,13 years old,"Salary & Benefits, Work Life Balance, Job Security",
4671,SOS Children's Village,Non-Profit ,3.8,75 years old,"Promotions / Appraisal, Skill Development / Learning, Company Culture",
4672,Rotostat Services,Industrial Machinery ,4.1,15 years old,"Skill Development / Learning, Work Satisfaction, Work Life Balance",
4673,Gpt Infraprojects,Engineering & Construction ,4.1,44 years old,"Company Culture, Job Security",
4674,Vedika Credit Capital,NBFC ,3.7,29 years old,"Promotions / Appraisal, Salary & Benefits, Job Security",
4675,Hetero Biopharma,Pharma ,3.7,15 years old,Job Security,"Company Culture, Promotions / Appraisal, Work Life Balance"
4676,eMDs,IT Services & Consulting ,3.7,28 years old,Job Security,"Promotions / Appraisal, Company Culture, Work Satisfaction"
4677,Fujitec,Electronics Manufacturing ,3.9,14 years old,Job Security,"Work Satisfaction, Company Culture, Promotions / Appraisal"
